t_s,j22,j23,j24,j25,j26,j27,j28,j12
0.020172,0.080150,-0.092578,-0.131503,1.291288,-0.458193,0.000000,0.000000,-0.041568
0.040068,0.080174,-0.092578,-0.131539,1.291276,-0.458217,0.000000,0.000000,-0.041568
0.060067,0.080174,-0.092590,-0.131539,1.291288,-0.458181,0.000000,0.000000,-0.041568
0.080133,0.080150,-0.092578,-0.131515,1.291288,-0.458193,0.000000,0.000000,-0.041555
0.100070,0.080150,-0.092578,-0.131551,1.291288,-0.458181,0.000000,0.000000,-0.041568
0.120064,0.080174,-0.092590,-0.131563,1.291288,-0.458217,0.000000,0.000000,-0.041568
0.140065,0.080127,-0.092578,-0.131563,1.291300,-0.458205,0.000000,0.000000,-0.041568
0.160067,0.080150,-0.092578,-0.131539,1.291288,-0.458205,0.000000,0.000000,-0.041568
0.180069,0.080150,-0.092554,-0.131527,1.291276,-0.458193,0.000000,0.000000,-0.041568
0.200073,0.080174,-0.092578,-0.131563,1.291288,-0.458181,0.000000,0.000000,-0.041542
0.220067,0.080186,-0.092578,-0.131539,1.291288,-0.458205,0.000000,0.000000,-0.041542
0.240250,0.080186,-0.092578,-0.131527,1.291288,-0.458193,0.000000,0.000000,-0.041568
0.260073,0.080174,-0.092578,-0.131551,1.291288,-0.458193,0.000000,0.000000,-0.041582
0.280490,0.080174,-0.092578,-0.131551,1.291312,-0.458181,0.000000,0.000000,-0.041568
0.300333,0.080186,-0.092578,-0.131515,1.291288,-0.458181,0.000000,0.000000,-0.041555
0.320132,0.080174,-0.092566,-0.131539,1.291264,-0.458181,0.000000,0.000000,-0.041568
0.340073,0.080186,-0.092590,-0.131575,1.291288,-0.458193,0.000000,0.000000,-0.041555
0.360192,0.080150,-0.092554,-0.131527,1.291288,-0.458205,0.000000,0.000000,-0.041568
0.380275,0.080174,-0.092554,-0.131563,1.291288,-0.458181,0.000000,0.000000,-0.041555
0.400137,0.080150,-0.092578,-0.131563,1.291288,-0.458193,0.000000,0.000000,-0.041542
0.420064,0.080174,-0.092554,-0.131575,1.291276,-0.458205,0.000000,0.000000,-0.041568
0.440065,0.080210,-0.092590,-0.131563,1.291276,-0.458205,0.000000,0.000000,-0.041568
0.460069,0.080174,-0.092578,-0.131563,1.291288,-0.458181,0.000000,0.000000,-0.041568
0.480067,0.080174,-0.092590,-0.131539,1.291288,-0.458193,0.000000,0.000000,-0.041542
0.500067,0.080174,-0.092578,-0.131539,1.291312,-0.458193,0.000000,0.000000,-0.041568
0.520063,0.080150,-0.092554,-0.131527,1.291288,-0.458217,0.000000,0.000000,-0.041568
0.540068,0.080186,-0.092554,-0.131539,1.291276,-0.458205,0.000000,0.000000,-0.041555
0.560071,0.080150,-0.092578,-0.131527,1.291288,-0.458181,0.000000,0.000000,-0.041542
0.580068,0.080150,-0.092578,-0.131563,1.291288,-0.458193,0.000000,0.000000,-0.041568
